Date,Sales,Revenue
2021-01-01,5000,25000
2021-02-01,5200,26000
2021-03-01,5500,27500
2021-04-01,4800,24000
2021-05-01,5100,25500
2021-06-01,5300,26500
2021-07-01,5400,27000
2021-08-01,5800,29000
2021-09-01,6000,30000
2021-10-01,6200,31000
2021-11-01,7000,35000
2021-12-01,8500,42500
2022-01-01,6000,30000
2022-02-01,6200,31000
2022-03-01,6500,32500
2022-04-01,5900,29500
2022-05-01,6200,31000
2022-06-01,6600,33000
2022-07-01,6900,34500
2022-08-01,7100,35500
2022-09-01,7300,36500
2022-10-01,8000,40000
2022-11-01,9500,47500
2022-12-01,10500,52500
